carrier|origin|month|num_flights|min_arr_delay|max_arr_delay|avg_arr_delay|cancel_rate|months_active
9E|ABE|1|363|-44.0|438.0|18.92|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|2|347|-42.0|113.0|-12.91|0.0115|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|3|414|-47.0|309.0|-12.59|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|4|393|-44.0|438.0|-1.06|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|5|396|-39.0|182.0|1.75|0.0126|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|6|414|-29.0|169.0|-0.49|0.0097|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|7|404|-33.0|245.0|11.06|0.0347|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|8|391|-31.0|348.0|-1.07|0.0205|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|9|379|-33.0|144.0|-9.27|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|10|373|-34.0|575.0|-2.43|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|11|389|-47.0|341.0|4.31|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|12|403|-44.0|476.0|13.06|0.0223|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABY|1|13|7.0|43.0|21.77|0.0|1,2,3,11,12
9E|ABY|2|19|-15.0|321.0|82.26|0.0|1,2,3,11,12
9E|ABY|3|6|2.0|2.0|2.0|0.0|1,2,3,11,12
9E|ABY|11|32|-29.0|-2.0|-13.72|0.0|1,2,3,11,12
9E|ABY|12|101|-32.0|141.0|-4.05|0.0|1,2,3,11,12
9E|AEX|1|282|-31.0|598.0|18.97|0.0355|1,2,3,4,5,6,7,8,9,10,11,12
9E|AEX|2|286|-34.0|238.0|-5.17|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AEX|3|277|-24.0|32.0|-8.95|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AEX|4|258|-24.0|590.0|13.62|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AEX|5|280|-24.0|270.0|9.64|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AEX|6|369|-29.0|979.0|17.28|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AEX|7|378|-31.0|872.0|35.24|0.0556|1,2,3,4,5,6,7,8,9,10,11,12
9E|AEX|8|379|-29.0|294.0|5.77|0.0106|1,2,3,4,5,6,7,8,9,10,11,12
9E|AEX|9|369|-30.0|316.0|4.31|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AEX|10|394|-29.0|379.0|10.4|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AEX|11|385|-32.0|301.0|4.28|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AEX|12|349|-33.0|294.0|-1.04|0.0172|1,2,3,4,5,6,7,8,9,10,11,12
9E|AGS|1|333|-35.0|784.0|37.89|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AGS|2|348|-36.0|109.0|-3.22|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AGS|3|597|-32.0|343.0|3.8|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AGS|4|694|-30.0|225.0|1.51|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AGS|5|720|-26.0|526.0|5.94|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AGS|6|742|-29.0|191.0|-6.32|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AGS|7|766|-28.0|1091.0|25.72|0.0405|1,2,3,4,5,6,7,8,9,10,11,12
9E|AGS|8|792|-30.0|484.0|3.63|0.0177|1,2,3,4,5,6,7,8,9,10,11,12
9E|AGS|9|596|-28.0|484.0|14.77|0.0386|1,2,3,4,5,6,7,8,9,10,11,12
9E|AGS|10|726|-28.0|261.0|-1.98|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AGS|11|343|-28.0|187.0|-4.1|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AGS|12|605|-32.0|534.0|22.11|0.0116|1,2,3,4,5,6,7,8,9,10,11,12
