carrier|origin|month|num_flights|min_arr_delay|max_arr_delay|avg_arr_delay|cancel_rate|months_active
9E|ABE|1|110|-44.0|438.0|20.35|0.0|1,2,3,4,5,6,7,8,9,10,11,12	
9E|ABE|2|118|-42.0|113.0|-11.85|0.0085|1,2,3,4,5,6,7,8,9,10,11,12	
9E|ABE|3|139|-47.0|309.0|-9.57|0.0|1,2,3,4,5,6,7,8,9,10,11,12	
9E|ABE|4|150|-44.0|438.0|-2.32|0.0|1,2,3,4,5,6,7,8,9,10,11,12	
9E|ABE|5|133|-39.0|182.0|0.89|0.015|1,2,3,4,5,6,7,8,9,10,11,12	
9E|ABE|6|132|-29.0|169.0|0.55|0.0152|1,2,3,4,5,6,7,8,9,10,11,12	
9E|ABE|7|126|-33.0|245.0|9.57|0.0317|1,2,3,4,5,6,7,8,9,10,11,12	
9E|ABE|8|136|-31.0|348.0|1.92|0.0221|1,2,3,4,5,6,7,8,9,10,11,12	
9E|ABE|9|125|-33.0|144.0|-8.3|0.0|1,2,3,4,5,6,7,8,9,10,11,12	
9E|ABE|10|124|-34.0|575.0|-3.79|0.0|1,2,3,4,5,6,7,8,9,10,11,12	
9E|ABE|11|125|-47.0|341.0|3.86|0.0|1,2,3,4,5,6,7,8,9,10,11,12	
9E|ABE|12|126|-44.0|476.0|11.55|0.0159|1,2,3,4,5,6,7,8,9,10,11,12	
9E|ABY|1|5|7.0|43.0|23.8|0.0|1,2,3,11,12	
9E|ABY|2|5|-15.0|321.0|64.2|0.0|1,2,3,11,12	
9E|ABY|3|3|2.0|2.0|2.0|0.0|1,2,3,11,12	
9E|ABY|11|9|-29.0|-2.0|-13.78|0.0|1,2,3,11,12	
9E|ABY|12|30|-32.0|141.0|-3.9|0.0|1,2,3,11,12	
9E|AEX|1|91|-31.0|598.0|21.28|0.033|1,2,3,4,5,6,7,8,9,10,11,12	
9E|AEX|2|91|-34.0|238.0|-3.44|0.0|1,2,3,4,5,6,7,8,9,10,11,12	
9E|AEX|3|89|-24.0|32.0|-9.1|0.0|1,2,3,4,5,6,7,8,9,10,11,12	
9E|AEX|4|84|-24.0|590.0|16.4|0.0|1,2,3,4,5,6,7,8,9,10,11,12	
9E|AEX|5|93|-24.0|270.0|6.08|0.0|1,2,3,4,5,6,7,8,9,10,11,12	
9E|AEX|6|117|-29.0|979.0|20.1|0.0|1,2,3,4,5,6,7,8,9,10,11,12	
9E|AEX|7|120|-31.0|872.0|25.42|0.0417|1,2,3,4,5,6,7,8,9,10,11,12	
9E|AEX|8|116|-29.0|294.0|6.17|0.0086|1,2,3,4,5,6,7,8,9,10,11,12	
9E|AEX|9|123|-30.0|316.0|6.28|0.0|1,2,3,4,5,6,7,8,9,10,11,12	
9E|AEX|10|125|-29.0|379.0|6.96|0.0|1,2,3,4,5,6,7,8,9,10,11,12	
9E|AEX|11|127|-32.0|301.0|2.72|0.0|1,2,3,4,5,6,7,8,9,10,11,12	
9E|AEX|12|119|-33.0|294.0|-0.03|0.0168|1,2,3,4,5,6,7,8,9,10,11,12	
9E|AGS|1|108|-35.0|784.0|45.99|0.0|1,2,3,4,5,6,7,8,9,10,11,12	
9E|AGS|2|114|-36.0|109.0|-4.92|0.0|1,2,3,4,5,6,7,8,9,10,11,12	
9E|AGS|3|194|-32.0|343.0|6.38|0.0|1,2,3,4,5,6,7,8,9,10,11,12	
9E|AGS|4|244|-30.0|225.0|0.22|0.0|1,2,3,4,5,6,7,8,9,10,11,12	
9E|AGS|5|247|-26.0|526.0|7.78|0.0|1,2,3,4,5,6,7,8,9,10,11,12	
9E|AGS|6|247|-29.0|191.0|-6.74|0.0|1,2,3,4,5,6,7,8,9,10,11,12	
9E|AGS|7|260|-28.0|1091.0|28.76|0.0423|1,2,3,4,5,6,7,8,9,10,11,12	
9E|AGS|8|268|-30.0|484.0|-0.76|0.0187|1,2,3,4,5,6,7,8,9,10,11,12	
9E|AGS|9|190|-28.0|484.0|13.54|0.0263|1,2,3,4,5,6,7,8,9,10,11,12	
9E|AGS|10|244|-28.0|261.0|-2.71|0.0|1,2,3,4,5,6,7,8,9,10,11,12	
9E|AGS|11|116|-28.0|187.0|-4.65|0.0|1,2,3,4,5,6,7,8,9,10,11,12	
9E|AGS|12|201|-32.0|534.0|19.61|0.01|1,2,3,4,5,6,7,8,9,10,11,12	
9E|ALB|1|146|-44.0|223.0|-1.16|0.0411|1,2,3,4,5,6,7,8,9,10,11,12	
