carrier|origin|month|num_flights|min_arr_delay|max_arr_delay|avg_arr_delay|cancel_rate|months_active
9E|ABE|1|11|-28.0|312.0|49.45|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|2|7|-39.0|100.0|-9.71|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|3|8|-42.0|-8.0|-21.88|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|4|4|-21.0|386.0|87.75|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|5|4|-12.0|17.0|-1.25|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|6|9|-26.0|72.0|-6.11|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|7|8|-16.0|201.0|46.88|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|8|7|-31.0|5.0|-14.57|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|9|8|-32.0|10.0|-13.63|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|10|5|-28.0|2.0|-16.4|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|11|10|-32.0|98.0|19.9|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|12|10|-36.0|268.0|43.89|0.1|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABY|11|1|-5.0|-5.0|-5.0|0.0|11,12
9E|ABY|12|5|-28.0|35.0|-2.8|0.0|11,12
9E|AEX|1|8|-26.0|41.0|-0.71|0.125|1,2,3,4,5,6,7,8,9,10,11,12
9E|AEX|2|8|-29.0|25.0|-10.25|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AEX|3|5|-16.0|26.0|0.2|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AEX|4|5|-17.0|138.0|21.4|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AEX|5|6|-18.0|-3.0|-8.0|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AEX|6|9|-17.0|4.0|-10.0|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AEX|7|7|-21.0|7.0|-6.6|0.2857|1,2,3,4,5,6,7,8,9,10,11,12
9E|AEX|8|11|-29.0|79.0|-2.09|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AEX|9|5|-30.0|7.0|-11.8|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AEX|10|12|-22.0|86.0|2.17|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AEX|11|10|-20.0|47.0|-3.2|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AEX|12|7|-33.0|5.0|-16.57|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AGS|1|7|-14.0|13.0|-0.29|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AGS|2|8|-23.0|62.0|5.75|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AGS|3|15|-22.0|49.0|-0.27|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AGS|4|4|-21.0|32.0|2.75|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AGS|5|14|-25.0|33.0|-4.5|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AGS|6|11|-25.0|45.0|-3.09|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AGS|7|14|-19.0|51.0|3.92|0.0714|1,2,3,4,5,6,7,8,9,10,11,12
9E|AGS|8|16|-20.0|484.0|34.0|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|AGS|9|16|-23.0|237.0|33.0|0.0625|1,2,3,4,5,6,7,8,9,10,11,12
