carrier|origin|month|num_flights|min_arr_delay|max_arr_delay|avg_arr_delay|cancel_rate|months_active
9E|ABE|1|11|-28.0|312.0|49.45|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|2|7|-39.0|100.0|-9.71|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|3|8|-42.0|-8.0|-21.88|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|4|4|-21.0|386.0|87.75|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|5|4|-12.0|17.0|-1.25|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|6|9|-26.0|72.0|-6.11|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|7|8|-16.0|201.0|46.88|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|8|7|-31.0|5.0|-14.57|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|9|8|-32.0|10.0|-13.63|0.0|1,2,3,4,5,6,7,8,9,10,11,12
9E|ABE|10|5|-28.0|2.0|-16.4|0.0|1,2,3,4,5,6,7,8,9,10,11,12
