origin|month|delay_band|num_flights|avg_dep|avg_arr|top_cause_1|top_cause_2|top_cause_3
ABE|1|high|4|170.0|168.5|late_aircraft|carrier|nas
ABE|1|low|34|-3.94|-17.29|late_aircraft|carrier|nas
ABE|1|medium|3|39.33|54.33|late_aircraft|carrier|nas
ABE|2|high|3|175.0|173.0|weather|late_aircraft|carrier
ABE|2|low|28|-5.5|-22.18|weather|late_aircraft|carrier
ABE|2|medium|1|23.0|-13.0|weather|late_aircraft|carrier
ABE|3|low|29|-5.97|-16.79|nas|carrier|late_aircraft
ABE|3|medium|6|35.0|29.67|nas|carrier|late_aircraft
ABE|4|high|5|196.4|189.6|weather|carrier|late_aircraft
ABE|4|low|30|-7.9|-18.2|weather|carrier|late_aircraft
