origin|month|delay_band|num_flights|avg_dep|avg_arr|top_cause_1|top_cause_2|top_cause_3
ABE|1|high|30|241.3|234.03|weather|carrier|late_aircraft
ABE|1|low|277|-5.51|-14.45|weather|carrier|late_aircraft
ABE|1|medium|31|34.32|31.45|weather|carrier|late_aircraft
ABE|2|high|14|227.93|217.93|weather|carrier|late_aircraft
ABE|2|low|296|-6.66|-19.48|weather|carrier|late_aircraft
ABE|2|medium|20|29.7|9.6|weather|carrier|late_aircraft
ABE|3|high|23|173.43|163.39|carrier|late_aircraft|nas
ABE|3|low|339|-6.19|-18.37|carrier|late_aircraft|nas
ABE|3|medium|28|30.68|19.89|carrier|late_aircraft|nas
ABE|4|high|29|258.66|250.38|carrier|weather|late_aircraft
ABE|4|low|302|-6.47|-17.25|carrier|weather|late_aircraft
ABE|4|medium|29|33.45|27.66|carrier|weather|late_aircraft
ABE|5|high|40|180.62|172.7|late_aircraft|carrier|nas
ABE|5|low|320|-6.4|-12.5|late_aircraft|carrier|nas
ABE|5|medium|26|30.08|29.58|late_aircraft|carrier|nas
ABE|6|high|38|173.92|167.79|carrier|late_aircraft|nas
ABE|6|low|336|-6.86|-16.41|carrier|late_aircraft|nas
ABE|6|medium|38|27.39|16.76|carrier|late_aircraft|nas
ABE|7|high|37|138.08|137.08|late_aircraft|weather|carrier
ABE|7|low|282|-6.33|-10.51|late_aircraft|weather|carrier
ABE|7|medium|41|34.61|30.15|late_aircraft|weather|carrier
ABE|8|high|27|146.96|144.3|late_aircraft|weather|carrier
ABE|8|low|290|-6.66|-14.01|late_aircraft|weather|carrier
ABE|8|medium|42|32.02|27.98|late_aircraft|weather|carrier
ABE|9|high|15|181.93|177.8|weather|late_aircraft|carrier
ABE|9|low|276|-6.86|-15.9|weather|late_aircraft|carrier
ABE|9|medium|25|37.84|31.56|weather|late_aircraft|carrier
ABE|10|high|18|193.17|183.83|late_aircraft|carrier|weather
ABE|10|low|301|-6.05|-17.86|late_aircraft|carrier|weather
ABE|10|medium|31|26.23|11.97|late_aircraft|carrier|weather
ABE|11|high|14|165.21|152.43|nas|late_aircraft|weather
ABE|11|low|279|-6.35|-16.63|nas|late_aircraft|weather
ABE|11|medium|24|31.62|21.75|nas|late_aircraft|weather
ABE|12|high|33|192.33|185.21|weather|late_aircraft|carrier
ABE|12|low|273|-4.89|-12.78|weather|late_aircraft|carrier
ABE|12|medium|34|32.5|23.85|weather|late_aircraft|carrier
ABI|1|high|14|112.5|115.0|late_aircraft|weather|nas
ABI|1|low|125|-6.34|-4.06|late_aircraft|weather|nas
ABI|1|medium|11|38.91|36.73|late_aircraft|weather|nas
ABI|2|high|1|99.0|88.0|weather|carrier|late_aircraft
ABI|2|low|132|-6.43|-5.87|weather|carrier|late_aircraft
ABI|2|medium|8|33.88|33.75|weather|carrier|late_aircraft
ABI|3|high|12|132.67|134.08|carrier|weather|late_aircraft
ABI|3|low|120|-4.21|-6.95|carrier|weather|late_aircraft
ABI|3|medium|13|24.08|27.08|carrier|weather|late_aircraft
ABI|4|high|12|129.67|126.17|weather|late_aircraft|nas
ABI|4|low|113|-4.14|-9.81|weather|late_aircraft|nas
