origin|month|cause|avg_minutes|rank_pos
ABE|1|weather_delay|117.5455|1
ABE|1|late_aircraft_delay|103.2917|2
ABE|1|carrier_delay|99.0417|3
ABE|2|weather_delay|173.0|1
ABE|2|carrier_delay|98.2414|2
ABE|2|late_aircraft_delay|62.4|3
ABE|3|carrier_delay|115.3929|1
ABE|3|late_aircraft_delay|80.5185|2
ABE|3|nas_delay|73.4815|3
ABE|4|carrier_delay|140.7632|1
ABE|4|late_aircraft_delay|106.0789|2
ABE|4|weather_delay|79.25|3
ABE|5|late_aircraft_delay|133.122|1
ABE|5|weather_delay|63.8|2
ABE|5|nas_delay|63.7719|3
ABE|6|carrier_delay|103.9231|1
ABE|6|late_aircraft_delay|76.7805|2
ABE|6|nas_delay|75.3077|3
ABE|7|late_aircraft_delay|62.7969|1
ABE|7|weather_delay|55.5|2
ABE|7|carrier_delay|53.1167|3
ABE|8|carrier_delay|59.3617|1
ABE|8|late_aircraft_delay|58.1698|2
ABE|8|weather_delay|55.7|3
ABE|9|weather_delay|122.1|1
ABE|9|late_aircraft_delay|56.3235|2
ABE|9|carrier_delay|45.8966|3
ABE|10|late_aircraft_delay|115.6786|1
ABE|10|carrier_delay|71.24|2
ABE|10|weather_delay|50.0|3
ABE|11|nas_delay|81.7895|1
ABE|11|carrier_delay|62.087|2
ABE|11|late_aircraft_delay|61.7857|3
ABE|12|weather_delay|166.3333|1
ABE|12|late_aircraft_delay|69.7059|2
ABE|12|carrier_delay|58.2769|3
ABI|1|late_aircraft_delay|62.8788|1
ABI|1|weather_delay|42.8125|2
ABI|1|nas_delay|31.7826|3
ABI|2|weather_delay|88.0|1
ABI|2|carrier_delay|23.0|2
ABI|2|late_aircraft_delay|18.7273|3
ABI|3|carrier_delay|68.2222|1
ABI|3|weather_delay|68.0|2
ABI|3|late_aircraft_delay|53.3077|3
ABI|4|weather_delay|77.3684|1
ABI|4|late_aircraft_delay|48.3929|2
ABI|4|nas_delay|19.25|3
ABI|5|late_aircraft_delay|120.7105|1
ABI|5|carrier_delay|84.4348|2
ABI|5|weather_delay|52.5789|3
ABI|6|late_aircraft_delay|54.7667|1
ABI|6|carrier_delay|47.5833|2
ABI|6|weather_delay|17.5556|3
ABI|7|carrier_delay|72.6429|1
ABI|7|late_aircraft_delay|46.2222|2
ABI|7|nas_delay|18.3158|3
ABI|8|late_aircraft_delay|38.0833|1
ABI|8|nas_delay|15.7143|2
ABI|8|carrier_delay|13.75|3
ABI|9|carrier_delay|68.5625|1
ABI|9|late_aircraft_delay|37.6667|2
ABI|9|weather_delay|34.8333|3
ABI|10|carrier_delay|131.7143|1
ABI|10|late_aircraft_delay|47.8889|2
ABI|10|nas_delay|34.3333|3
ABI|11|weather_delay|71.1667|1
ABI|11|carrier_delay|52.6667|2
ABI|11|late_aircraft_delay|34.0769|3
ABI|12|late_aircraft_delay|61.6818|1
ABI|12|carrier_delay|42.7647|2
ABI|12|weather_delay|37.3846|3
ABQ|1|late_aircraft_delay|60.007|1
ABQ|1|weather_delay|39.1803|2
ABQ|1|carrier_delay|34.2059|3
ABQ|2|weather_delay|64.4091|1
ABQ|2|late_aircraft_delay|48.2514|2
ABQ|2|carrier_delay|46.2188|3
ABQ|3|late_aircraft_delay|52.1474|1
ABQ|3|weather_delay|46.1111|2
ABQ|3|carrier_delay|37.4549|3
ABQ|4|weather_delay|96.8372|1
ABQ|4|late_aircraft_delay|43.699|2
ABQ|4|carrier_delay|31.6066|3
ABQ|5|weather_delay|119.9355|1
ABQ|5|late_aircraft_delay|53.5612|2
ABQ|5|carrier_delay|36.8786|3
ABQ|6|weather_delay|57.0513|1
ABQ|6|late_aircraft_delay|47.7635|2
ABQ|6|carrier_delay|34.3882|3
ABQ|7|late_aircraft_delay|56.4932|1
ABQ|7|weather_delay|39.7027|2
ABQ|7|carrier_delay|33.5877|3
ABQ|8|late_aircraft_delay|49.9474|1
ABQ|8|carrier_delay|39.8741|2
ABQ|8|weather_delay|28.3793|3
ABQ|9|carrier_delay|45.5632|1
ABQ|9|late_aircraft_delay|39.3319|2
ABQ|9|nas_delay|21.1189|3
ABQ|10|security_delay|180.0|1
ABQ|10|late_aircraft_delay|53.9415|2
ABQ|10|weather_delay|44.0|3
ABQ|11|late_aircraft_delay|47.67|1
ABQ|11|weather_delay|37.3448|2
ABQ|11|carrier_delay|32.4027|3
ABQ|12|weather_delay|138.3|1
ABQ|12|late_aircraft_delay|55.279|2
ABQ|12|carrier_delay|31.2096|3
ABR|1|weather_delay|142.6667|1
ABR|1|carrier_delay|74.75|2
ABR|1|nas_delay|8.0|3
ABR|2|weather_delay|304.5|1
ABR|2|carrier_delay|24.0|2
ABR|3|carrier_delay|154.4444|1
ABR|3|weather_delay|152.6667|2
ABR|4|carrier_delay|344.0|1
ABR|4|weather_delay|344.0|2
ABR|5|carrier_delay|101.0|1
ABR|5|weather_delay|73.6667|2
ABR|5|nas_delay|1.0|3
ABR|6|carrier_delay|149.3182|1
ABR|6|weather_delay|43.4|2
ABR|6|nas_delay|24.0|3
ABR|7|carrier_delay|106.2|1
ABR|7|weather_delay|28.3333|2
ABR|7|nas_delay|18.6|3
ABR|8|carrier_delay|247.2857|1
ABR|8|weather_delay|36.5|2
