origin|month|delay_band|num_flights|avg_dep_delay|avg_arr_delay
ABE|1|high|46|238.11|229.41
ABE|1|low|413|-5.94|-14.41
ABE|1|medium|48|30.75|28.62
ABE|1|unknown|13|0.0|0.0
ABE|2|high|21|221.71|211.95
ABE|2|low|442|-6.75|-19.52
ABE|2|medium|36|29.19|12.5
ABE|2|unknown|6|0.0|0.0
ABE|3|high|38|180.5|170.45
ABE|3|low|526|-6.26|-18.36
ABE|3|medium|39|30.05|18.0
ABE|3|unknown|3|0.0|0.0
ABE|4|high|40|258.88|249.7
ABE|4|low|472|-6.31|-17.07
ABE|4|medium|41|32.17|26.85
ABE|4|unknown|3|0.0|0.0
ABE|5|high|57|188.74|182.46
ABE|5|low|493|-6.52|-12.11
ABE|5|medium|38|31.08|32.95
ABE|5|unknown|9|0.0|0.0
ABE|6|high|52|190.31|184.83
ABE|6|low|506|-6.76|-16.4
ABE|6|medium|61|27.59|14.0
ABE|6|unknown|4|0.0|0.0
ABE|7|high|53|129.83|129.21
ABE|7|low|418|-6.75|-10.38
ABE|7|medium|56|32.54|26.8
ABE|7|unknown|14|0.0|0.0
ABE|8|high|40|150.32|145.65
ABE|8|low|444|-6.74|-14.05
ABE|8|medium|66|30.97|26.42
ABE|8|unknown|15|0.0|0.0
ABE|9|high|20|174.95|170.75
ABE|9|low|430|-6.93|-15.86
ABE|9|medium|39|37.08|31.15
ABE|9|unknown|6|0.0|0.0
ABE|10|high|25|201.04|193.4
ABE|10|low|472|-5.83|-17.85
ABE|10|medium|41|25.88|11.29
ABE|10|unknown|15|0.0|0.0
ABE|11|high|24|185.79|172.12
ABE|11|low|416|-6.1|-16.09
ABE|11|medium|34|30.68|19.62
ABE|12|high|49|189.0|183.39
ABE|12|low|397|-4.91|-13.08
ABE|12|medium|44|32.36|25.02
ABE|12|unknown|8|0.0|0.0
ABI|1|high|21|116.1|116.81
ABI|1|low|183|-6.62|-3.78
ABI|1|medium|17|40.71|37.12
ABI|1|unknown|2|0.0|0.0
ABI|2|high|1|99.0|88.0
ABI|2|low|200|-6.52|-6.35
ABI|2|medium|12|31.25|32.25
ABI|3|high|16|132.44|133.5
ABI|3|low|180|-4.26|-6.54
ABI|3|medium|23|27.65|29.78
ABI|3|unknown|1|0.0|0.0
ABI|4|high|17|142.82|142.12
ABI|4|low|169|-3.72|-9.43
ABI|4|medium|24|30.79|29.0
ABI|4|unknown|4|0.0|0.0
ABI|5|high|35|197.34|201.94
ABI|5|low|128|-3.16|-7.59
ABI|5|medium|46|26.67|24.57
ABI|5|unknown|4|0.0|0.0
ABI|6|high|17|113.82|105.53
ABI|6|low|178|-4.3|-10.37
ABI|6|medium|27|30.11|28.59
ABI|6|unknown|1|0.0|0.0
ABI|7|high|14|141.64|138.29
ABI|7|low|176|-4.38|-8.96
ABI|7|medium|31|31.19|30.61
ABI|8|high|3|85.67|84.0
ABI|8|low|192|-6.24|-9.15
ABI|8|medium|14|28.43|24.07
ABI|9|high|13|121.69|112.92
ABI|9|low|177|-5.45|-7.75
ABI|9|medium|20|28.55|24.45
ABI|10|high|8|157.75|148.0
ABI|10|low|206|-5.66|-11.97
ABI|10|medium|6|32.0|31.0
ABI|11|high|12|113.0|112.75
ABI|11|low|187|-4.56|-8.93
ABI|11|medium|13|31.85|26.69
ABI|11|unknown|3|0.0|0.0
ABI|12|high|21|112.81|119.48
ABI|12|low|204|-4.04|-5.2
ABI|12|medium|10|29.2|22.2
ABI|12|unknown|2|0.0|0.0
ABQ|1|high|162|137.03|132.9
ABQ|1|low|2205|-3.22|-8.47
ABQ|1|medium|313|30.74|26.23
ABQ|1|unknown|50|0.0|0.0
ABQ|2|high|94|163.66|162.57
ABQ|2|low|2048|-2.86|-8.25
ABQ|2|medium|236|31.55|28.61
ABQ|2|unknown|6|0.0|0.0
ABQ|3|high|182|143.42|141.72
ABQ|3|low|2260|-2.34|-7.85
ABQ|3|medium|358|31.13|25.59
ABQ|3|unknown|7|0.0|0.0
ABQ|4|high|147|141.93|140.44
ABQ|4|low|2365|-2.23|-8.38
ABQ|4|medium|400|30.97|24.83
ABQ|4|unknown|12|0.0|0.0
ABQ|5|high|245|157.56|147.2
ABQ|5|low|2446|-1.9|-7.43
ABQ|5|medium|486|30.82|25.22
ABQ|5|unknown|48|0.0|0.0
ABQ|6|high|198|134.74|130.57
ABQ|6|low|2392|-2.11|-7.13
ABQ|6|medium|475|30.44|25.48
ABQ|6|unknown|19|0.0|0.0
ABQ|7|high|244|144.2|141.03
ABQ|7|low|2357|-2.19|-7.35
ABQ|7|medium|502|32.83|29.79
ABQ|7|unknown|32|0.0|0.0
ABQ|8|high|199|127.45|124.95
ABQ|8|low|2564|-3.35|-8.31
ABQ|8|medium|363|30.09|27.14
ABQ|8|unknown|18|0.0|0.0
ABQ|9|high|96|138.79|133.88
ABQ|9|low|2593|-3.87|-10.12
ABQ|9|medium|337|29.06|22.99
ABQ|9|unknown|8|0.0|0.0
ABQ|10|high|112|160.43|154.75
ABQ|10|low|3180|-3.09|-8.24
ABQ|10|medium|328|29.14|23.45
ABQ|10|unknown|5|0.0|0.0
ABQ|11|high|109|132.63|129.86
ABQ|11|low|2603|-3.58|-7.4
ABQ|11|medium|272|30.01|29.22
ABQ|11|unknown|17|0.0|0.0
ABQ|12|high|129|160.96|160.22
ABQ|12|low|2486|-3.21|-9.33
ABQ|12|medium|325|30.09|23.62
ABQ|12|unknown|11|0.0|0.0
ABR|1|high|8|133.38|121.62
ABR|1|low|65|-2.69|-14.54
ABR|1|medium|5|27.2|7.8
ABR|1|unknown|5|0.0|0.0
ABR|2|high|4|321.0|304.5
ABR|2|low|83|-4.78|-22.95
ABR|2|medium|3|34.0|13.67
ABR|3|high|11|186.36|164.91
ABR|3|low|68|-4.19|-21.65
ABR|3|medium|4|24.0|6.0
ABR|3|unknown|1|0.0|0.0
ABR|4|high|4|365.5|344.0
ABR|4|low|88|-4.99|-15.61
ABR|4|medium|2|18.0|-4.0
ABR|5|high|9|122.44|113.67
ABR|5|low|75|-5.03|-11.17
ABR|5|medium|3|39.33|36.0
ABR|6|high|10|311.1|309.9
ABR|6|low|56|-3.18|-0.48
ABR|6|medium|15|36.27|49.67
ABR|7|high|8|130.0|136.0
ABR|7|low|67|-1.81|-10.28
ABR|7|medium|7|33.0|29.57
ABR|8|high|8|244.0|261.12
ABR|8|low|73|-3.22|-8.12
ABR|8|medium|11|22.36|34.0
ABR|9|high|5|143.2|134.8
ABR|9|low|82|-4.83|-15.59
ABR|10|high|9|247.44|234.44
ABR|10|low|73|-4.36|-16.9
ABR|10|medium|9|44.89|33.78
ABR|11|high|4|104.5|89.25
ABR|11|low|77|-4.62|-12.7
ABR|11|medium|9|25.11|16.44
ABR|12|high|14|519.0|515.79
ABR|12|low|56|-4.05|-9.98
ABR|12|medium|16|34.88|25.69
ABR|12|unknown|2|0.0|0.0
ABY|1|high|9|302.56|291.22
ABY|1|low|74|-4.84|-10.88
ABY|1|medium|9|23.56|19.44
ABY|2|high|6|199.33|194.83
ABY|2|low|67|-5.84|-7.21
ABY|2|medium|12|27.5|17.33
ABY|3|high|8|122.38|114.0
ABY|3|low|95|-5.6|-9.35
ABY|3|medium|2|43.0|39.0
ABY|4|high|6|121.0|123.5
ABY|4|low|69|-6.19|-3.46
ABY|4|medium|10|34.2|37.7
ABY|5|high|11|110.0|106.73
ABY|5|low|80|-6.14|-3.62
ABY|5|medium|8|42.75|45.0
ABY|5|unknown|1|0.0|0.0
ABY|6|high|6|68.67|61.17
ABY|6|low|79|-5.72|-5.87
ABY|6|medium|7|44.86|39.71
ABY|6|unknown|2|0.0|0.0
ABY|7|high|17|166.35|176.82
ABY|7|low|62|-5.79|4.87
ABY|7|medium|9|29.33|28.89
ABY|7|unknown|3|0.0|0.0
ABY|8|high|13|318.92|314.85
ABY|8|low|64|-5.02|-7.08
ABY|8|medium|12|32.0|23.25
ABY|8|unknown|1|0.0|0.0
ABY|9|high|7|99.71|94.29
ABY|9|low|76|-6.97|-6.09
ABY|9|medium|9|41.22|46.0
ABY|9|unknown|1|0.0|0.0
ABY|10|high|1|130.0|117.0
ABY|10|low|90|-7.11|-8.9
ABY|10|medium|3|56.33|42.33
ABY|11|high|3|190.0|195.0
ABY|11|low|98|-7.44|-7.2
ABY|11|medium|6|43.0|37.83
ABY|12|high|19|216.16|215.89
ABY|12|low|86|-7.21|-14.42
ABY|12|medium|10|28.3|23.6
ACK|5|high|21|164.33|161.9
ACK|5|low|150|-10.53|-11.58
ACK|5|medium|14|34.36|35.79
ACK|5|unknown|12|0.0|0.0
ACK|6|high|59|173.73|174.34
ACK|6|low|379|-8.64|-13.39
ACK|6|medium|52|36.35|38.48
ACK|6|unknown|16|0.0|0.0
ACK|7|high|77|127.27|129.29
ACK|7|low|483|-7.85|-10.38
ACK|7|medium|101|33.42|32.22
ACK|7|unknown|25|0.0|0.0
ACK|8|high|76|176.16|176.95
ACK|8|low|535|-5.7|-6.95
ACK|8|medium|60|35.0|31.3
ACK|8|unknown|61|0.0|0.0
ACK|9|high|15|180.33|96.2
ACK|9|low|216|-9.2|-10.89
ACK|9|medium|14|37.5|40.0
ACK|10|high|4|147.25|141.25
ACK|10|low|98|-10.04|-14.18
ACK|10|medium|5|31.6|23.8
ACT|1|high|16|225.06|223.25
ACT|1|low|98|-6.07|-9.18
ACT|1|medium|18|34.17|31.72
ACT|1|unknown|6|0.0|0.0
ACT|2|high|7|87.0|75.29
ACT|2|low|123|-4.85|-6.77
ACT|2|medium|6|34.33|34.67
ACT|3|high|5|79.2|72.2
ACT|3|low|107|-3.05|-2.79
ACT|3|medium|14|29.14|29.57
ACT|3|unknown|5|0.0|0.0
ACT|4|high|9|193.0|203.78
ACT|4|low|106|-3.9|-4.63
ACT|4|medium|13|32.0|28.15
ACT|4|unknown|5|0.0|0.0
ACT|5|high|17|174.53|172.82
ACT|5|low|99|-6.06|-4.15
ACT|5|medium|12|34.5|30.17
ACT|5|unknown|5|0.0|0.0
ACT|6|high|24|156.54|155.38
ACT|6|low|87|-4.08|-3.72
ACT|6|medium|18|36.72|31.56
ACT|6|unknown|2|0.0|0.0
ACT|7|high|16|138.25|143.31
ACT|7|low|104|-6.1|-4.78
ACT|7|medium|10|47.4|44.3
ACT|8|high|6|102.83|105.5
ACT|8|low|104|-4.64|-2.6
ACT|8|medium|20|38.1|42.0
ACT|8|unknown|1|0.0|0.0
ACT|9|high|5|190.6|181.2
ACT|9|low|101|-4.59|-5.92
ACT|9|medium|15|28.6|36.67
ACT|10|high|31|121.39|116.87
ACT|10|low|96|-5.84|-6.1
ACT|10|medium|23|34.39|33.17
ACT|11|high|6|134.67|130.5
ACT|11|low|107|-4.43|-5.18
ACT|11|medium|9|42.0|39.11
ACT|11|unknown|4|0.0|0.0
ACT|12|high|21|128.0|128.9
ACT|12|low|93|-4.96|-1.62
ACT|12|medium|19|32.74|34.74
ACT|12|unknown|10|0.0|0.0
ACV|1|high|26|199.12|194.42
ACV|1|low|169|-5.75|-9.38
ACV|1|medium|23|31.52|24.91
ACV|1|unknown|4|0.0|0.0
ACV|2|high|21|314.76|315.19
ACV|2|low|132|-5.92|-7.51
ACV|2|medium|32|37.16|38.06
ACV|2|unknown|6|0.0|0.0
ACV|3|high|17|186.29|183.82
ACV|3|low|153|-5.2|-9.42
ACV|3|medium|42|28.74|27.9
ACV|3|unknown|5|0.0|0.0
ACV|4|high|18|148.0|146.83
ACV|4|low|136|-4.11|-7.36
ACV|4|medium|23|38.48|53.48
ACV|5|high|19|172.53|179.37
ACV|5|low|152|-4.58|-9.47
ACV|5|medium|17|28.41|29.76
ACV|5|unknown|1|0.0|0.0
ACV|6|high|13|161.62|159.15
ACV|6|low|154|-4.06|-8.47
ACV|6|medium|15|32.07|33.53
ACV|7|high|15|325.73|328.27
ACV|7|low|194|-5.25|-7.67
ACV|7|medium|20|33.95|36.5
ACV|7|unknown|1|0.0|0.0
ACV|8|high|15|201.47|202.27
ACV|8|low|176|-3.64|-3.32
ACV|8|medium|26|28.0|35.04
ACV|8|unknown|7|0.0|0.0
ACV|9|high|27|272.48|268.85
ACV|9|low|172|-5.13|-10.91
ACV|9|medium|11|37.09|32.64
ACV|9|unknown|7|0.0|0.0
ACV|10|high|30|276.5|279.67
ACV|10|low|226|-5.54|-8.13
ACV|10|medium|16|32.31|27.75
ACV|10|unknown|2|0.0|0.0
ACV|11|high|26|110.77|114.73
ACV|11|low|205|-5.26|-6.69
ACV|11|medium|27|32.56|30.74
ACV|11|unknown|9|0.0|0.0
ACV|12|high|10|137.9|136.1
ACV|12|low|215|-5.88|-7.53
ACV|12|medium|20|31.85|37.9
ACY|1|high|14|161.64|156.71
ACY|1|low|337|-5.64|-4.71
ACY|1|medium|32|28.69|27.03
ACY|1|unknown|8|0.0|0.0
ACY|2|high|27|139.37|139.96
ACY|2|low|340|-5.04|-11.86
ACY|2|medium|56|32.41|23.3
ACY|2|unknown|1|0.0|0.0
ACY|3|high|47|148.72|150.17
ACY|3|low|319|-4.78|-9.75
ACY|3|medium|115|33.06|32.43
ACY|3|unknown|13|0.0|0.0
ACY|4|high|23|114.91|107.87
ACY|4|low|382|-6.68|-16.51
ACY|4|medium|33|35.67|29.48
ACY|4|unknown|2|0.0|0.0
ACY|5|high|18|131.11|127.39
ACY|5|low|346|-4.7|-10.93
ACY|5|medium|52|30.5|24.21
ACY|5|unknown|3|0.0|0.0
ACY|6|high|37|149.62|143.43
ACY|6|low|298|-4.38|-15.17
ACY|6|medium|47|33.04|24.94
ACY|6|unknown|7|0.0|0.0
ACY|7|high|28|183.5|173.75
ACY|7|low|244|-3.23|-13.08
ACY|7|medium|55|35.38|27.09
ACY|7|unknown|12|0.0|0.0
ACY|8|high|40|136.55|134.75
ACY|8|low|309|-3.29|-8.75
ACY|8|medium|62|31.66|28.15
ACY|8|unknown|13|0.0|0.0
ACY|9|high|15|116.93|115.87
ACY|9|low|251|-6.01|-14.16
ACY|9|medium|27|30.48|25.41
ACY|9|unknown|3|0.0|0.0
ACY|10|high|7|116.43|101.14
ACY|10|low|281|-5.83|-15.84
ACY|10|medium|19|34.63|24.37
ACY|10|unknown|14|0.0|0.0
ACY|11|high|7|190.0|172.57
ACY|11|low|337|-7.93|-22.02
ACY|11|medium|24|32.5|19.75
ACY|11|unknown|4|0.0|0.0
ACY|12|high|20|95.65|85.75
ACY|12|low|221|-6.52|-15.47
ACY|12|medium|35|31.77|24.69
ACY|12|unknown|1|0.0|0.0
ADK|1|low|5|-18.0|-12.8
ADK|1|medium|2|29.5|42.0
ADK|1|unknown|7|0.0|0.0
ADK|2|low|10|-39.6|-42.8
ADK|2|unknown|1|0.0|0.0
ADK|3|high|1|103.0|103.0
ADK|3|low|12|-46.08|-40.25
ADK|4|high|1|225.0|217.0
ADK|4|low|8|-21.75|-27.0
ADK|4|medium|1|58.0|53.0
ADK|4|unknown|2|0.0|0.0
ADK|5|low|10|-34.3|-44.5
ADK|5|medium|3|20.33|16.33
ADK|6|low|12|-20.58|-16.33
ADK|6|unknown|1|0.0|0.0
ADK|7|low|9|-5.78|-11.67
ADK|7|medium|3|31.0|31.67
ADK|8|high|3|170.0|135.0
ADK|8|low|6|1.17|-0.67
ADK|8|medium|2|49.0|33.5
ADK|9|high|1|70.0|73.0
ADK|9|low|10|-1.3|-8.2
ADK|9|medium|4|31.0|16.5
ADK|10|low|9|-18.44|-22.33
ADK|10|medium|1|29.0|16.0
ADK|10|unknown|1|0.0|0.0
ADK|11|high|1|61.0|73.0
ADK|11|low|9|-12.0|-2.11
ADK|11|unknown|2|0.0|0.0
ADK|12|low|12|-21.67|-20.0
ADQ|1|high|13|86.0|77.85
ADQ|1|low|61|-14.38|-17.92
ADQ|1|medium|15|33.27|30.67
ADQ|1|unknown|5|0.0|0.0
ADQ|2|high|7|143.29|135.86
ADQ|2|low|71|-10.41|-14.7
ADQ|2|medium|12|32.0|25.75
ADQ|3|high|7|190.14|189.0
ADQ|3|low|75|-11.77|-14.17
ADQ|3|medium|9|24.67|18.78
ADQ|3|unknown|2|0.0|0.0
ADQ|4|high|2|168.5|165.0
ADQ|4|low|77|-11.69|-16.13
ADQ|4|medium|11|38.0|31.82
ADQ|4|unknown|4|0.0|0.0
ADQ|5|high|4|62.5|52.5
ADQ|5|low|107|-9.72|-12.0
ADQ|5|medium|7|41.86|38.0
ADQ|6|high|3|72.0|70.33
ADQ|6|low|103|-11.42|-11.31
ADQ|6|medium|7|37.57|33.57
ADQ|6|unknown|4|0.0|0.0
ADQ|7|high|9|169.44|169.89
ADQ|7|low|102|-7.45|-7.16
ADQ|7|medium|9|26.89|21.78
ADQ|7|unknown|1|0.0|0.0
ADQ|8|high|5|118.4|118.8
ADQ|8|low|115|-8.86|-8.77
ADQ|8|medium|12|24.83|22.08
ADQ|8|unknown|4|0.0|0.0
ADQ|9|high|1|87.0|89.0
ADQ|9|low|126|-12.3|-11.12
ADQ|9|medium|5|45.8|50.6
ADQ|10|high|4|126.5|128.0
ADQ|10|low|72|-5.22|-6.64
ADQ|10|medium|7|31.43|32.29
ADQ|10|unknown|2|0.0|0.0
ADQ|11|high|4|322.5|323.25
ADQ|11|low|67|-3.43|-1.42
ADQ|11|medium|24|26.67|28.96
ADQ|11|unknown|1|0.0|0.0
ADQ|12|high|4|167.25|169.75
ADQ|12|low|84|-7.14|-8.7
ADQ|12|medium|3|30.0|29.67
ADQ|12|unknown|4|0.0|0.0
AEX|1|high|25|324.6|340.88
AEX|1|low|175|-5.71|-5.98
AEX|1|medium|23|39.26|32.96
AEX|1|unknown|12|0.0|0.0
AEX|2|high|10|262.7|257.5
AEX|2|low|194|-6.19|-10.52
AEX|2|medium|12|34.58|35.08
AEX|2|unknown|2|0.0|0.0
AEX|3|high|12|156.5|146.83
