origin|month|cause|avg_minutes|rank_pos
ABE|1|weather_delay|159.125|1
ABE|1|carrier_delay|97.9375|2
ABE|1|late_aircraft_delay|94.375|3
ABE|2|weather_delay|173.0|1
ABE|2|carrier_delay|110.125|2
ABE|2|late_aircraft_delay|63.0833|3
ABE|3|carrier_delay|93.4118|1
ABE|3|late_aircraft_delay|82.6842|2
ABE|3|nas_delay|69.4444|3
ABE|4|carrier_delay|151.5|1
ABE|4|weather_delay|103.3333|2
ABE|4|late_aircraft_delay|90.6538|3
ABE|5|late_aircraft_delay|123.8387|1
ABE|5|carrier_delay|64.4643|2
ABE|5|nas_delay|56.5|3
ABE|6|carrier_delay|96.6765|1
ABE|6|late_aircraft_delay|73.0313|2
ABE|6|nas_delay|69.3|3
ABE|7|late_aircraft_delay|62.9583|1
ABE|7|weather_delay|55.5714|2
ABE|7|carrier_delay|54.4318|3
ABE|8|late_aircraft_delay|58.6216|1
ABE|8|weather_delay|55.7|2
ABE|8|carrier_delay|51.8966|3
ABE|9|weather_delay|121.3333|1
ABE|9|late_aircraft_delay|72.1905|2
ABE|9|carrier_delay|56.8421|3
ABE|10|late_aircraft_delay|94.2|1
ABE|10|carrier_delay|78.2|2
ABE|10|weather_delay|50.0|3
ABE|11|nas_delay|57.3333|1
ABE|11|late_aircraft_delay|57.2778|2
ABE|11|weather_delay|56.0|3
ABE|12|weather_delay|148.4286|1
ABE|12|late_aircraft_delay|73.7568|2
ABE|12|carrier_delay|58.6596|3
ABI|1|late_aircraft_delay|54.95|1
ABI|1|weather_delay|48.5833|2
ABI|1|nas_delay|34.1176|3
ABI|2|weather_delay|88.0|1
ABI|2|carrier_delay|23.3333|2
ABI|2|late_aircraft_delay|19.0|3
ABI|3|carrier_delay|92.1667|1
ABI|3|weather_delay|59.0|2
ABI|3|late_aircraft_delay|50.9412|3
ABI|4|weather_delay|78.75|1
ABI|4|late_aircraft_delay|44.0526|2
ABI|4|nas_delay|18.4|3
ABI|5|late_aircraft_delay|100.52|1
ABI|5|carrier_delay|89.9286|2
ABI|5|weather_delay|70.1818|3
ABI|6|late_aircraft_delay|54.0|1
ABI|6|carrier_delay|52.5|2
ABI|6|weather_delay|28.0|3
ABI|7|carrier_delay|62.9091|1
ABI|7|late_aircraft_delay|41.0|2
ABI|7|nas_delay|18.4|3
ABI|8|late_aircraft_delay|36.6667|1
ABI|8|nas_delay|18.4|2
ABI|8|carrier_delay|14.4286|3
ABI|9|carrier_delay|49.8|1
ABI|9|late_aircraft_delay|41.5455|2
ABI|9|weather_delay|29.25|3
ABI|10|carrier_delay|97.0|1
ABI|10|late_aircraft_delay|48.25|2
ABI|10|nas_delay|26.5|3
ABI|11|weather_delay|60.8333|1
ABI|11|carrier_delay|54.25|2
ABI|11|late_aircraft_delay|30.4286|3
ABI|12|late_aircraft_delay|66.25|1
ABI|12|carrier_delay|42.8|2
ABI|12|weather_delay|35.1429|3
ABQ|1|late_aircraft_delay|63.3889|1
ABQ|1|weather_delay|35.7778|2
ABQ|1|carrier_delay|34.9704|3
ABQ|2|weather_delay|55.0625|1
ABQ|2|late_aircraft_delay|52.712|2
ABQ|2|carrier_delay|41.0413|3
ABQ|3|late_aircraft_delay|53.9828|1
ABQ|3|weather_delay|43.4667|2
ABQ|3|carrier_delay|36.7263|3
ABQ|4|weather_delay|88.8696|1
ABQ|4|late_aircraft_delay|46.0402|2
ABQ|4|nas_delay|29.7801|3
ABQ|5|weather_delay|110.8|1
ABQ|5|late_aircraft_delay|53.657|2
ABQ|5|carrier_delay|41.3898|3
ABQ|6|weather_delay|54.25|1
ABQ|6|late_aircraft_delay|48.7473|2
ABQ|6|carrier_delay|40.2432|3
ABQ|7|late_aircraft_delay|58.8493|1
ABQ|7|weather_delay|38.2222|2
ABQ|7|carrier_delay|37.1704|3
ABQ|8|late_aircraft_delay|50.0223|1
ABQ|8|carrier_delay|41.8316|2
ABQ|8|weather_delay|24.8889|3
ABQ|9|carrier_delay|40.4444|1
ABQ|9|late_aircraft_delay|38.7667|2
ABQ|9|nas_delay|23.4688|3
ABQ|10|security_delay|138.0|1
ABQ|10|late_aircraft_delay|48.6444|2
ABQ|10|weather_delay|44.0|3
ABQ|11|late_aircraft_delay|46.3741|1
ABQ|11|weather_delay|41.3478|2
ABQ|11|carrier_delay|32.3724|3
ABQ|12|weather_delay|121.0|1
ABQ|12|late_aircraft_delay|57.8254|2
ABQ|12|carrier_delay|28.3038|3
ABR|1|weather_delay|151.0|1
ABR|1|carrier_delay|67.0|2
ABR|1|nas_delay|8.0|3
ABR|2|weather_delay|304.5|1
ABR|2|carrier_delay|24.0|2
ABR|3|carrier_delay|164.6667|1
ABR|3|weather_delay|123.0|2
ABR|4|carrier_delay|344.0|1
