origin|month|delay_band|num_flights|avg_dep|avg_arr|top_cause_1|top_cause_2|top_cause_3
ABE|1|high|4|170.0|168.5|late_aircraft|carrier|nas
ABE|1|low|34|-3.94|-17.29|late_aircraft|carrier|nas
ABE|1|medium|3|39.33|54.33|late_aircraft|carrier|nas
ABE|2|high|3|175.0|173.0|weather|late_aircraft|carrier
ABE|2|low|28|-5.5|-22.18|weather|late_aircraft|carrier
ABE|2|medium|1|23.0|-13.0|weather|late_aircraft|carrier
ABE|3|low|29|-5.97|-16.79|nas|carrier|late_aircraft
ABE|3|medium|6|35.0|29.67|nas|carrier|late_aircraft
ABE|4|high|5|196.4|189.6|weather|carrier|late_aircraft
ABE|4|low|30|-7.9|-18.2|weather|carrier|late_aircraft
ABE|4|medium|6|41.0|24.83|weather|carrier|late_aircraft
ABE|5|high|2|141.5|127.5|carrier|late_aircraft|nas
ABE|5|low|26|-5.73|-11.58|carrier|late_aircraft|nas
ABE|5|medium|2|35.5|24.5|carrier|late_aircraft|nas
ABE|6|high|7|145.57|110.57|carrier|late_aircraft|nas
ABE|6|low|37|-8.43|-17.03|carrier|late_aircraft|nas
ABE|6|medium|5|22.8|29.4|carrier|late_aircraft|nas
ABE|7|high|8|139.13|148.5|late_aircraft|weather|nas
ABE|7|low|27|-5.15|-12.41|late_aircraft|weather|nas
ABE|7|medium|6|40.0|38.0|late_aircraft|weather|nas
ABE|8|high|1|90.0|108.0|nas|late_aircraft|carrier
ABE|8|low|23|-6.22|-13.17|nas|late_aircraft|carrier
ABE|8|medium|4|34.75|33.5|nas|late_aircraft|carrier
ABE|9|high|2|89.5|101.5|late_aircraft|carrier|nas
ABE|9|low|29|-7.45|-19.24|late_aircraft|carrier|nas
ABE|9|medium|3|22.33|0.67|late_aircraft|carrier|nas
ABE|10|low|25|-8.12|-18.76|nas|late_aircraft|carrier
ABE|10|medium|4|20.0|12.0|nas|late_aircraft|carrier
ABE|11|high|2|139.5|134.5|nas|late_aircraft|carrier
ABE|11|low|29|-6.83|-16.79|nas|late_aircraft|carrier
ABE|11|medium|6|36.67|31.17|nas|late_aircraft|carrier
ABE|12|high|4|152.5|141.75|late_aircraft|carrier|weather
ABE|12|low|28|-5.64|-11.86|late_aircraft|carrier|weather
ABE|12|medium|2|29.0|17.5|late_aircraft|carrier|weather
ABI|1|high|1|71.0|73.0|late_aircraft|nas|carrier
ABI|1|low|9|-7.22|-8.33|late_aircraft|nas|carrier
ABI|2|high|1|99.0|88.0|weather|nas|none
ABI|2|low|13|-6.46|-7.85|weather|nas|none
ABI|3|low|11|-4.27|-9.0|nas|none|none
ABI|3|medium|1|15.0|-1.0|nas|none|none
ABI|4|high|3|153.33|150.33|weather|late_aircraft|nas
ABI|4|low|14|-4.79|-8.21|weather|late_aircraft|nas
ABI|4|medium|2|33.5|41.0|weather|late_aircraft|nas
ABI|5|high|1|111.0|98.0|late_aircraft|none|none
ABI|5|low|13|-2.0|-7.62|late_aircraft|none|none
ABI|5|medium|1|16.0|2.0|late_aircraft|none|none
ABI|6|high|2|102.5|92.0|late_aircraft|nas|carrier
ABI|6|low|8|-9.75|-11.13|late_aircraft|nas|carrier
ABI|6|medium|1|17.0|42.0|late_aircraft|nas|carrier
ABI|7|low|13|-4.31|-9.69|late_aircraft|none|none
ABI|7|medium|1|47.0|38.0|late_aircraft|none|none
ABI|8|low|15|-5.07|-3.33|nas|late_aircraft|carrier
ABI|8|medium|1|18.0|15.0|nas|late_aircraft|carrier
ABI|9|high|1|106.0|104.0|late_aircraft|none|none
ABI|9|low|12|-7.08|-12.67|late_aircraft|none|none
ABI|10|low|20|-4.25|-10.75|none|none|none
ABI|11|low|11|-4.73|-10.73|carrier|none|none
ABI|11|medium|1|40.0|39.0|carrier|none|none
ABI|12|high|1|137.0|126.0|late_aircraft|carrier|nas
ABI|12|low|8|0.38|-1.63|late_aircraft|carrier|nas
ABQ|1|high|18|151.33|147.33|late_aircraft|carrier|weather
ABQ|1|low|149|-3.22|-8.21|late_aircraft|carrier|weather
ABQ|1|medium|16|33.56|32.0|late_aircraft|carrier|weather
ABQ|2|high|3|156.67|154.67|late_aircraft|weather|nas
ABQ|2|low|148|-2.74|-8.24|late_aircraft|weather|nas
ABQ|2|medium|9|25.56|25.33|late_aircraft|weather|nas
ABQ|3|high|7|160.43|154.14|late_aircraft|carrier|nas
ABQ|3|low|146|-2.9|-7.67|late_aircraft|carrier|nas
ABQ|3|medium|23|31.83|27.09|late_aircraft|carrier|nas
ABQ|4|high|9|171.0|153.56|late_aircraft|weather|carrier
ABQ|4|low|151|-2.13|-7.99|late_aircraft|weather|carrier
ABQ|4|medium|29|32.83|25.52|late_aircraft|weather|carrier
ABQ|5|high|26|120.54|118.38|weather|late_aircraft|carrier
ABQ|5|low|156|-2.29|-8.03|weather|late_aircraft|carrier
ABQ|5|medium|26|28.81|22.04|weather|late_aircraft|carrier
ABQ|6|high|11|266.55|260.82|carrier|late_aircraft|weather
ABQ|6|low|179|-1.86|-5.51|carrier|late_aircraft|weather
ABQ|6|medium|38|32.58|28.84|carrier|late_aircraft|weather
ABQ|7|high|11|179.18|179.55|carrier|late_aircraft|weather
ABQ|7|low|159|-1.67|-7.47|carrier|late_aircraft|weather
