origin|month|delay_band|num_flights|avg_dep_delay|avg_arr_delay
ABE|1|high|30|241.3|234.03
ABE|1|low|277|-5.51|-14.56
ABE|1|medium|31|34.32|32.5
ABE|1|unknown|11||
ABE|2|high|14|227.93|217.93
ABE|2|low|296|-6.66|-19.55
ABE|2|medium|20|29.7|10.11
ABE|2|unknown|3||
ABE|3|high|23|173.43|163.39
ABE|3|low|339|-6.19|-18.37
ABE|3|medium|28|30.68|19.89
ABE|3|unknown|2||
ABE|4|high|29|258.66|250.38
ABE|4|low|302|-6.47|-17.3
ABE|4|medium|29|33.45|27.66
ABE|4|unknown|2||
ABE|5|high|40|180.63|177.13
ABE|5|low|320|-6.4|-12.5
ABE|5|medium|26|30.08|29.58
ABE|5|unknown|5||
ABE|6|high|38|173.92|172.32
ABE|6|low|336|-6.86|-16.46
ABE|6|medium|38|27.39|17.22
ABE|6|unknown|3||
ABE|7|high|37|138.08|137.08
ABE|7|low|282|-6.33|-10.59
ABE|7|medium|41|34.61|30.15
ABE|7|unknown|11||
ABE|8|high|27|146.96|144.3
ABE|8|low|290|-6.66|-14.06
ABE|8|medium|42|32.02|27.98
ABE|8|unknown|9||
ABE|9|high|15|181.93|177.8
ABE|9|low|276|-6.86|-15.9
ABE|9|medium|25|37.84|32.88
ABE|9|unknown|4||
ABE|10|high|18|193.17|183.83
ABE|10|low|301|-6.05|-17.92
ABE|10|medium|31|26.23|11.97
ABE|10|unknown|9||
ABE|11|high|14|165.21|152.43
ABE|11|low|279|-6.35|-16.63
ABE|11|medium|24|31.63|21.75
ABE|12|high|33|192.33|185.21
ABE|12|low|273|-4.89|-12.93
ABE|12|medium|34|32.5|24.58
ABE|12|unknown|5||
ABI|1|high|14|112.5|123.85
ABI|1|low|125|-6.34|-4.06
ABI|1|medium|11|38.91|36.73
ABI|1|unknown|1||
ABI|2|high|1|99.0|88.0
ABI|2|low|132|-6.43|-5.87
ABI|2|medium|8|33.88|33.75
ABI|3|high|12|132.67|134.08
ABI|3|low|120|-4.21|-6.95
ABI|3|medium|13|24.08|27.08
ABI|3|unknown|1||
ABI|4|high|12|129.67|126.17
ABI|4|low|113|-4.14|-9.81
ABI|4|medium|15|31.47|29.6
ABI|4|unknown|2||
ABI|5|high|22|190.68|195.59
ABI|5|low|92|-2.86|-7.01
ABI|5|medium|26|27.88|25.04
ABI|5|unknown|3||
ABI|6|high|13|116.54|108.77
ABI|6|low|112|-4.65|-10.25
ABI|6|medium|18|28.33|25.72
ABI|6|unknown|1||
ABI|7|high|10|127.0|122.5
ABI|7|low|115|-4.24|-8.7
ABI|7|medium|23|30.13|30.87
ABI|8|high|2|91.5|89.5
ABI|8|low|131|-6.13|-8.8
ABI|8|medium|12|27.25|22.67
ABI|9|high|8|108.88|99.13
ABI|9|low|124|-5.33|-8.06
ABI|9|medium|14|28.43|23.43
ABI|10|high|4|135.5|125.5
ABI|10|low|141|-5.66|-12.18
ABI|10|medium|3|32.0|32.0
ABI|11|high|6|106.17|105.0
ABI|11|low|127|-4.5|-9.21
ABI|11|medium|8|31.13|25.5
ABI|11|unknown|2||
ABI|12|high|12|111.0|117.08
ABI|12|low|131|-4.17|-6.19
ABI|12|medium|7|28.71|21.57
ABI|12|unknown|1||
ABQ|1|high|116|137.95|134.59
ABQ|1|low|1454|-3.23|-8.46
ABQ|1|medium|200|30.94|26.28
ABQ|1|unknown|27||
ABQ|2|high|65|155.35|155.88
ABQ|2|low|1403|-2.88|-8.39
ABQ|2|medium|157|31.03|28.93
ABQ|2|unknown|5||
ABQ|3|high|115|151.7|150.59
ABQ|3|low|1511|-2.43|-8.09
ABQ|3|medium|251|31.27|25.83
ABQ|3|unknown|6||
ABQ|4|high|94|143.41|142.43
ABQ|4|low|1528|-2.33|-8.72
ABQ|4|medium|263|30.96|24.81
ABQ|4|unknown|9||
ABQ|5|high|164|154.62|149.59
ABQ|5|low|1600|-1.89|-7.44
ABQ|5|medium|321|31.05|25.33
ABQ|5|unknown|32||
ABQ|6|high|126|147.6|143.38
ABQ|6|low|1620|-2.12|-7.08
ABQ|6|medium|310|30.53|25.68
ABQ|6|unknown|13||
ABQ|7|high|168|152.89|150.16
ABQ|7|low|1592|-2.1|-7.24
ABQ|7|medium|332|33.04|29.46
ABQ|7|unknown|24||
ABQ|8|high|125|131.06|129.1
ABQ|8|low|1700|-3.32|-8.27
ABQ|8|medium|234|30.08|27.2
ABQ|8|unknown|9||
ABQ|9|high|66|127.7|122.7
ABQ|9|low|1741|-3.87|-10.19
ABQ|9|medium|221|28.92|22.79
ABQ|9|unknown|5||
ABQ|10|high|75|141.68|137.13
