origin|carrier|num_flights|avg_dep_delay|avg_arr_delay|cancel_rate|avg_dep_airport|dep_diff|rank
ABE|G4|2764|7.6762|0.1049|0.017|10.863|-3.1868|1
ABE|9E|1544|9.4242|0.7377|0.0091|10.863|-1.4388|2
ABE|OH|1752|12.1273|1.2477|0.0108|10.863|1.2643|3
ABE|OO|473|29.4989|21.2706|0.0338|10.863|18.6359|4
ABI|MQ|2618|8.0959|5.3617|0.0069|8.0959|0.0|1
ABQ|OO|5974|1.9041|-2.2836|0.0037|9.0865|-7.1824|1
ABQ|DL|2309|2.2304|-5.0433|0.0074|9.0865|-6.8561|2
ABQ|MQ|1390|5.4835|3.6612|0.005|9.0865|-3.603|3
ABQ|UA|2701|5.5309|-0.2721|0.0096|9.0865|-3.5556|4
ABQ|AS|646|7.4489|4.2152|0.0139|9.0865|-1.6376|5
ABQ|WN|17418|10.3928|4.3215|0.0045|9.0865|1.3063|6
ABQ|NK|782|10.9642|7.3708|0.0115|9.0865|1.8777|7
ABQ|AA|4452|17.0088|13.9394|0.0148|9.0865|7.9223|8
ABQ|B6|372|49.1828|45.6317|0.0296|9.0865|40.0963|9
ABR|OO|1049|21.8189|12.9104|0.0076|21.8189|0.0|1
ABY|9E|52|8.5385|3.9423|0.0|14.9696|-6.4311|1
ABY|OO|1099|15.2739|14.4049|0.0073|14.9696|0.3043|2
ACK|B6|1484|13.1523|9.0411|0.0384|13.7659|-0.6136|1
ACK|YX|910|13.8209|14.5297|0.0769|13.7659|0.055|2
ACK|MQ|31|17.2258|18.129|0.0|13.7659|3.4599|3
ACK|OO|48|29.4583|19.3125|0.0417|13.7659|15.6924|4
ACT|OO|1122|14.0009|14.0731|0.025|15.1728|-1.1719|1
ACT|MQ|481|17.9064|17.2536|0.0208|15.1728|2.7336|2
ACV|OO|2635|18.6228|16.5321|0.0159|18.6228|0.0|1
ACY|NK|4586|8.3755|1.2399|0.0177|8.3755|0.0|1
ADK|AS|149|-6.0671|-7.9329|0.094|-6.0671|0.0|1
ADQ|AS|1271|2.0236|0.7175|0.0212|2.0236|0.0|1
AEX|9E|1295|13.4039|8.1931|0.0085|17.5502|-4.1463|1
AEX|OO|1565|20.115|15.515|0.0236|17.5502|2.5648|2
AEX|MQ|50|44.66|42.8|0.0|17.5502|27.1098|3
AGS|YX|52|6.4808|-3.7308|0.0|16.1154|-9.6346|1
AGS|MQ|312|9.6346|1.5641|0.0256|16.1154|-6.4808|2
AGS|9E|2433|12.9051|7.4464|0.0095|16.1154|-3.2103|3
AGS|DL|247|15.6842|10.0972|0.0|16.1154|-0.4312|4
AGS|OH|2320|17.8772|16.1767|0.0172|16.1154|1.7618|5
AGS|OO|652|24.5445|18.1012|0.0061|16.1154|8.4291|6
AGS|AA|31|43.7742|42.2258|0.0|16.1154|27.6588|7
AKN|AS|271|-7.476|-3.524|0.0037|-7.476|0.0|1
ALB|MQ|287|3.0209|1.2962|0.0|12.5585|-9.5376|1
ALB|9E|1624|3.7174|-4.9273|0.0179|12.5585|-8.8411|2
ALB|YX|501|4.2355|-1.2954|0.018|12.5585|-8.323|3
