origin|carrier|num_flights|avg_dep_delay|avg_arr_delay|cancel_rate|avg_dep_airport|dep_diff|rank
ABE|G4|1837|8.3027|0.6298|0.0152|11.3279|-3.0252|1
ABE|9E|1010|9.3653|0.7198|0.0099|11.3279|-1.9626|2
ABE|OH|1161|12.8829|1.8829|0.0121|11.3279|1.555|3
ABE|OO|314|29.5892|21.3025|0.0382|11.3279|18.2613|4
ABI|MQ|1748|7.3135|4.4365|0.0069|7.3135|0.0|1
ABQ|DL|1542|1.7438|-5.5396|0.0071|9.1244|-7.3806|1
ABQ|OO|3973|2.1173|-2.0111|0.0038|9.1244|-7.0071|2
ABQ|MQ|907|5.2492|3.226|0.0066|9.1244|-3.8752|3
ABQ|UA|1821|5.4399|-0.3119|0.0104|9.1244|-3.6845|4
ABQ|AS|423|8.3428|4.4728|0.0095|9.1244|-0.7816|5
ABQ|NK|524|9.0115|5.2118|0.0115|9.1244|-0.1129|6
ABQ|WN|11574|10.4546|4.3496|0.0044|9.1244|1.3302|7
ABQ|AA|2980|17.3547|14.5003|0.0148|9.1244|8.2303|8
ABQ|B6|255|47.9961|44.2235|0.0196|9.1244|38.8717|9
ABR|OO|728|19.136|10.6305|0.0082|19.136|0.0|1
ABY|9E|38|9.5263|4.3684|0.0|17.1099|-7.5836|1
ABY|OO|726|17.5069|16.3815|0.0096|17.1099|0.397|2
ACK|B6|1005|12.5682|8.1323|0.0378|13.494|-0.9258|1
ACK|YX|610|14.0148|14.1557|0.0705|13.494|0.5208|2
ACK|MQ|22|21.8182|22.6818|0.0|13.494|8.3242|3
ACK|OO|27|29.4074|17.3704|0.037|13.494|15.9134|4
ACT|OO|743|13.9529|13.8869|0.0215|15.2444|-1.2915|1
ACT|MQ|337|18.092|17.632|0.0208|15.2444|2.8476|2
ACV|OO|1730|18.6838|16.8434|0.0156|18.6838|0.0|1
ACY|NK|3050|8.7295|1.7213|0.018|8.7295|0.0|1
ADK|AS|104|-5.5962|-6.3077|0.0769|-5.5962|0.0|1
ADQ|AS|815|2.6245|1.3374|0.0209|2.6245|0.0|1
AEX|9E|872|14.5436|9.6617|0.0092|16.6883|-2.1447|1
AEX|OO|1049|17.7483|13.3537|0.02|16.6883|1.06|2
AEX|MQ|33|39.6667|39.1212|0.0|16.6883|22.9784|3
AGS|MQ|192|7.9323|0.3854|0.026|16.5735|-8.6412|1
AGS|YX|31|9.9355|-0.7097|0.0|16.5735|-6.638|2
AGS|9E|1574|12.4797|7.0578|0.0102|16.5735|-4.0938|3
AGS|DL|168|17.8452|12.7381|0.0|16.5735|1.2717|4
AGS|OH|1556|18.5726|17.0668|0.0186|16.5735|1.9991|5
AGS|OO|428|27.1495|20.6425|0.007|16.5735|10.576|6
AGS|AA|23|36.4783|34.3478|0.0|16.5735|19.9048|7
AKN|AS|178|-6.4326|-3.2472|0.0056|-6.4326|0.0|1
ALB|MQ|186|2.7688|0.9516|0.0|12.5925|-9.8237|1
ALB|YX|332|3.1898|-2.1476|0.0151|12.5925|-9.4027|2
ALB|9E|1087|4.6642|-4.3082|0.0175|12.5925|-7.9283|3
ALB|UA|744|5.8938|2.1935|0.0121|12.5925|-6.6987|4
ALB|OO|833|9.5438|4.0252|0.0024|12.5925|-3.0487|5
ALB|WN|3522|11.4188|3.8049|0.0082|12.5925|-1.1737|6
ALB|DL|1343|13.2614|3.7439|0.0089|12.5925|0.6689|7
ALB|OH|1159|16.8197|13.2994|0.0259|12.5925|4.2272|8
ALB|B6|779|18.208|12.7715|0.0128|12.5925|5.6155|9
ALB|AA|1448|18.355|11.6899|0.0083|12.5925|5.7625|10
ALB|G4|573|24.2984|15.3159|0.014|12.5925|11.7059|11
ALW|OO|542|0.1919|2.7325|0.0295|0.1919|0.0|1
AMA|WN|1936|7.1271|0.9649|0.0046|9.2431|-2.116|1
AMA|MQ|2047|7.7899|5.5745|0.0122|9.2431|-1.4532|2
AMA|OO|869|14.3326|11.6168|0.0173|9.2431|5.0895|3
AMA|AA|203|22.2906|21.5025|0.0148|9.2431|13.0475|4
ANC|AS|14183|3.7442|1.0176|0.0143|6.0904|-2.3462|1
ANC|UA|1293|11.365|0.6783|0.0186|6.0904|5.2746|2
ANC|DL|2459|11.7625|1.8003|0.0069|6.0904|5.6721|3
ANC|AA|501|31.0559|18.4631|0.004|6.0904|24.9655|4
APN|OO|623|15.6758|9.5698|0.0225|15.6758|0.0|1
ASE|OO|7626|25.1896|19.6092|0.0362|25.1896|0.0|1
ATL|9E|26704|6.598|2.4858|0.0091|11.05|-4.452|1
ATL|YX|1229|8.7396|6.0293|0.0171|11.05|-2.3104|2
ATL|AS|1436|9.055|3.9903|0.0181|11.05|-1.995|3
ATL|DL|224540|9.3173|5.443|0.0036|11.05|-1.7327|4
ATL|WN|33274|12.6075|6.5563|0.0053|11.05|1.5575|5
ATL|UA|7316|12.8152|7.4064|0.0148|11.05|1.7652|6
ATL|MQ|665|15.2211|12.5368|0.0195|11.05|4.1711|7
ATL|OH|2481|16.9831|13.4418|0.0153|11.05|5.9331|8
ATL|AA|7655|19.8327|15.6913|0.0131|11.05|8.7827|9
ATL|NK|10182|20.0371|13.0775|0.0155|11.05|8.9871|10
ATL|OO|8213|20.7946|17.3459|0.0072|11.05|9.7446|11
ATL|B6|3005|22.2097|17.3075|0.0153|11.05|11.1597|12
ATL|F9|11660|24.6959|20.2497|0.0238|11.05|13.6459|13
ATW|G4|1318|7.3892|0.2838|0.0197|15.4696|-8.0804|1
ATW|DL|325|10.7015|2.7231|0.0092|15.4696|-4.7681|2
ATW|9E|176|10.7898|9.3409|0.0|15.4696|-4.6798|3
ATW|MQ|753|13.5246|6.7371|0.0133|15.4696|-1.945|4
ATW|OO|3661|19.4269|15.7787|0.0145|15.4696|3.9573|5
AUS|YX|121|2.124|-3.2314|0.0|14.2164|-12.0924|1
AUS|OH|25|9.28|0.04|0.0|14.2164|-4.9364|2
AUS|UA|9520|10.3248|4.4286|0.0121|14.2164|-3.8916|3
AUS|AS|2827|10.9031|8.1086|0.0226|14.2164|-3.3133|4
AUS|WN|37363|11.7496|5.6281|0.005|14.2164|-2.4668|5
AUS|MQ|2279|12.8885|10.8025|0.014|14.2164|-1.3279|6
AUS|DL|11140|14.0806|6.8287|0.0052|14.2164|-0.1358|7
AUS|9E|379|15.2058|14.0712|0.0053|14.2164|0.9894|8
AUS|NK|1091|18.3346|10.923|0.0247|14.2164|4.1182|9
AUS|G4|1102|20.1806|16.5254|0.0191|14.2164|5.9642|10
AUS|AA|13716|20.3728|16.8726|0.0106|14.2164|6.1564|11
AUS|OO|3693|21.5207|16.9504|0.0032|14.2164|7.3043|12
AUS|HA|165|21.6667|26.1152|0.0061|14.2164|7.4503|13
AUS|F9|705|24.6128|20.5262|0.017|14.2164|10.3964|14
AUS|B6|792|30.9975|22.0227|0.0101|14.2164|16.7811|15
AVL|YX|1120|7.8705|2.3402|0.0375|15.4451|-7.5746|1
AVL|9E|673|10.2095|1.9153|0.0193|15.4451|-5.2356|2
AVL|UA|188|10.9309|5.8032|0.0319|15.4451|-4.5142|3
AVL|OH|2047|10.9389|10.2765|0.0176|15.4451|-4.5062|4
AVL|DL|2228|12.1773|3.5337|0.0117|15.4451|-3.2678|5
AVL|OO|717|15.7908|12.9805|0.0307|15.4451|0.3457|6
AVL|G4|3261|17.4106|13.9335|0.0294|15.4451|1.9655|7
AVL|MQ|1178|22.1537|19.3081|0.0246|15.4451|6.7086|8
AVL|B6|83|24.9759|23.3855|0.012|15.4451|9.5308|9
AVL|AA|486|44.2716|38.5144|0.0494|15.4451|28.8265|10
AVP|MQ|484|15.0413|10.5103|0.0124|18.2092|-3.1679|1
AVP|OH|238|15.7059|1.9916|0.0126|18.2092|-2.5033|2
AVP|AA|821|18.4994|13.4884|0.011|18.2092|0.2902|3
AVP|OO|44|61.1818|50.0682|0.0455|18.2092|42.9726|4
AZA|G4|5881|4.4025|-0.9469|0.0068|4.4025|0.0|1
AZO|9E|14|2.6429|-2.9286|0.0|10.994|-8.3511|1
AZO|OO|985|11.1127|5.6305|0.0122|10.994|0.1187|2
BDL|YX|512|-1.1504|-7.9902|0.002|12.1246|-13.275|1
BDL|MQ|558|5.3262|1.6613|0.0108|12.1246|-6.7984|2
BDL|UA|2192|6.1729|1.5242|0.0128|12.1246|-5.9517|3
BDL|9E|366|7.0738|1.5|0.0301|12.1246|-5.0508|4
BDL|DL|3994|7.4742|-0.2431|0.0048|12.1246|-4.6504|5
BDL|NK|594|9.3249|5.7609|0.0168|12.1246|-2.7997|6
BDL|WN|4094|10.637|2.796|0.0061|12.1246|-1.4876|7
BDL|B6|3376|14.8356|7.6129|0.0121|12.1246|2.711|8
BDL|AA|3968|15.1346|9.9178|0.0156|12.1246|3.01|9
BDL|OH|1480|16.398|11.273|0.0203|12.1246|4.2734|10
BDL|OO|69|18.3623|18.3188|0.0145|12.1246|6.2377|11
BDL|F9|1029|35.4111|30.2692|0.0292|12.1246|23.2865|12
BET|AS|726|8.3168|11.8994|0.011|8.3168|0.0|1
BFF|OO|623|9.7769|8.992|0.0225|9.7769|0.0|1
BFL|MQ|338|1.4556|-4.2041|0.003|6.947|-5.4914|1
BFL|OO|1419|4.9415|-1.4722|0.0042|6.947|-2.0055|2
BFL|AA|921|12.0521|7.4929|0.0109|6.947|5.1051|3
BGM|9E|367|12.6485|7.0082|0.0327|12.6485|0.0|1
BGR|9E|1254|2.4896|-5.9115|0.0359|11.2861|-8.7965|1
BGR|YX|1006|9.7724|3.1412|0.0388|11.2861|-1.5137|2
BGR|OH|807|10.5328|-0.0508|0.0273|11.2861|-0.7533|3
BGR|MQ|249|11.7068|12.3855|0.0161|11.2861|0.4207|4
BGR|OO|156|15.3654|14.5321|0.0064|11.2861|4.0793|5
BGR|G4|535|18.2692|3.8822|0.028|11.2861|6.9831|6
BGR|AA|607|25.5931|24.4119|0.0198|11.2861|14.307|7
BHM|UA|4|-4.25|-11.5|0.0|11.1719|-15.4219|1
BHM|YX|385|-1.1948|-3.8208|0.0104|11.1719|-12.3667|2
BHM|DL|2875|6.3607|1.3162|0.0031|11.1719|-4.8112|3
BHM|9E|1112|6.6664|-0.6295|0.0333|11.1719|-4.5055|4
BHM|MQ|2458|9.4471|6.1334|0.009|11.1719|-1.7248|5
BHM|NK|73|10.1644|11.6986|0.0|11.1719|-1.0075|6
BHM|WN|4296|12.3457|7.3389|0.0074|11.1719|1.1738|7
BHM|OH|3961|14.2449|10.4696|0.0129|11.1719|3.073|8
BHM|OO|1595|14.2947|9.9505|0.0075|11.1719|3.1228|9
BHM|AA|389|26.0386|24.365|0.0154|11.1719|14.8667|10
BIH|OO|274|18.4161|8.3212|0.0693|18.4161|0.0|1
BIL|UA|735|1.9769|-1.2395|0.0068|6.0897|-4.1128|1
BIL|OO|1343|2.0901|-0.8034|0.006|6.0897|-3.9996|2
BIL|DL|788|5.3718|2.2322|0.0127|6.0897|-0.7179|3
BIL|MQ|916|11.3188|9.2063|0.0044|6.0897|5.2291|4
BIL|G4|365|17.5151|15.789|0.0137|6.0897|11.4254|5
BIS|9E|10|1.6|16.0|0.0|11.1788|-9.5788|1
BIS|DL|630|6.6571|-0.3921|0.0063|11.1788|-4.5217|2
BIS|G4|543|6.7864|-3.0258|0.0147|11.1788|-4.3924|3
BIS|MQ|601|9.386|5.5574|0.0033|11.1788|-1.7928|4
BIS|OO|2182|14.115|8.3346|0.0078|11.1788|2.9362|5
BJI|OO|728|15.7418|9.8929|0.0096|15.7418|0.0|1
BLI|G4|958|0.9812|-3.7537|0.0052|6.6591|-5.6779|1
BLI|WN|620|8.7742|2.1403|0.0065|6.6591|2.1151|2
BLI|OO|962|10.9501|12.3555|0.0073|6.6591|4.291|3
BLV|G4|1098|20.7013|14.6894|0.0255|20.7013|0.0|1
BMI|9E|728|7.4753|0.3736|0.0096|10.3843|-2.909|1
BMI|MQ|728|8.3805|2.636|0.0151|10.3843|-2.0038|2
BMI|F9|60|9.2167|12.5333|0.0333|10.3843|-1.1676|3
BMI|G4|230|26.2391|23.0522|0.0174|10.3843|15.8548|4
BNA|YX|5685|3.352|0.7233|0.0086|11.3779|-8.0259|1
BNA|DL|8332|4.4413|-1.611|0.0056|11.3779|-6.9366|2
BNA|AS|1211|7.5739|-1.8315|0.0107|11.3779|-3.804|3
BNA|UA|6215|10.748|5.9215|0.014|11.3779|-0.6299|4
BNA|G4|3028|10.7536|5.1341|0.0145|11.3779|-0.6243|5
BNA|WN|50776|10.9497|3.7917|0.006|11.3779|-0.4282|6
BNA|MQ|2531|11.6665|9.4318|0.0202|11.3779|0.2886|7
BNA|OH|2384|12.5021|10.1913|0.013|11.3779|1.1242|8
BNA|OO|4109|13.4098|9.3867|0.0124|11.3779|2.0319|9
BNA|B6|1354|15.5347|8.8973|0.0177|11.3779|4.1568|10
BNA|F9|764|15.9398|15.1715|0.0183|11.3779|4.5619|11
BNA|NK|3805|18.4896|9.8799|0.0276|11.3779|7.1117|12
BNA|9E|1181|20.1964|16.8721|0.0313|11.3779|8.8185|13
BNA|AA|8330|20.6484|18.5852|0.0151|11.3779|9.2705|14
BOI|AS|625|4.336|3.7856|0.0064|6.6375|-2.3015|1
BOI|OO|11260|4.7813|2.9009|0.003|6.6375|-1.8562|2
BOI|MQ|267|6.5843|2.8165|0.0037|6.6375|-0.0532|3
BOI|WN|4742|6.8321|0.3652|0.0027|6.6375|0.1946|4
BOI|UA|1364|7.0638|2.2111|0.0183|6.6375|0.4263|5
BOI|NK|541|8.3198|4.2791|0.0185|6.6375|1.6823|6
BOI|DL|2737|8.806|2.9847|0.0058|6.6375|2.1685|7
BOI|AA|903|11.9114|6.7542|0.0144|6.6375|5.2739|8
BOI|G4|353|32.8187|31.4419|0.0085|6.6375|26.1812|9
BOS|9E|8|-3.25|-15.625|0.125|11.858|-15.108|1
BOS|G4|519|3.1715|-4.3719|0.025|11.858|-8.6865|2
BOS|YX|26276|3.8252|-1.4366|0.0111|11.858|-8.0328|3
BOS|OO|2|9.5|23.5|0.0|11.858|-2.358|4
BOS|UA|12375|10.2019|2.3955|0.0136|11.858|-1.6561|5
BOS|AS|2586|11.1926|4.2088|0.0162|11.858|-0.6654|6
BOS|DL|25591|12.3081|2.4752|0.007|11.858|0.4501|7
BOS|HA|220|12.7545|10.3091|0.0091|11.858|0.8965|8
BOS|MQ|1930|12.8497|5.4705|0.0145|11.858|0.9917|9
BOS|WN|6612|13.1379|3.5098|0.0071|11.858|1.2799|10
BOS|B6|40992|14.3862|7.3305|0.011|11.858|2.5282|11
BOS|AA|17041|14.4111|4.2207|0.0097|11.858|2.5531|12
BOS|F9|1479|17.4821|14.1204|0.0237|11.858|5.6241|13
BOS|NK|6994|20.4888|11.8889|0.0313|11.858|8.6308|14
BPT|OO|541|6.647|1.1183|0.0185|9.2294|-2.5824|1
BPT|MQ|187|16.7005|12.7005|0.016|9.2294|7.4711|2
BQK|9E|142|7.4859|8.0915|0.0|15.6063|-8.1204|1
BQK|OO|653|17.3721|19.4227|0.0031|15.6063|1.7658|2
BQN|B6|1585|15.1281|11.2265|0.0126|16.641|-1.5129|1
BQN|F9|495|17.6444|6.3838|0.0121|16.641|1.0034|2
BQN|UA|366|21.8361|12.429|0.0301|16.641|5.1951|3
BRD|OO|648|7.2654|2.3272|0.0046|7.2654|0.0|1
BRO|MQ|1237|5.6492|3.6152|0.0129|8.8598|-3.2106|1
BRO|OO|718|14.3914|10.7465|0.0251|8.8598|5.5316|2
BRW|AS|364|9.5522|10.7665|0.0522|9.5522|0.0|1
BTM|OO|690|-4.9754|-14.1783|0.0|-4.9754|0.0|1
