origin|carrier|num_flights|avg_dep_delay|avg_arr_delay|cancel_rate|avg_dep_airport|dep_diff|rank
ABE|G4|2764|7.6762|0.1049|0.017|10.863|-3.1868|1
ABE|9E|1544|9.4242|0.7377|0.0091|10.863|-1.4388|2
ABE|OH|1752|12.1273|1.2477|0.0108|10.863|1.2643|3
ABE|OO|473|29.4989|21.2706|0.0338|10.863|18.6359|4
ABI|MQ|2618|8.0959|5.3617|0.0069|8.0959|0.0|1
ABQ|OO|5974|1.9041|-2.2836|0.0037|9.0865|-7.1824|1
ABQ|DL|2309|2.2304|-5.0433|0.0074|9.0865|-6.8561|2
ABQ|MQ|1390|5.4835|3.6612|0.005|9.0865|-3.603|3
ABQ|UA|2701|5.5309|-0.2721|0.0096|9.0865|-3.5556|4
ABQ|AS|646|7.4489|4.2152|0.0139|9.0865|-1.6376|5
