origin|carrier|num_flights|avg_dep_delay|avg_arr_delay|cancel_rate|avg_dep_airport|dep_diff|rank_pos
ABE|G4|1837|8.4312|0.6431|0.0152|11.4981|-3.0669|1
ABE|9E|1010|9.459|0.7285|0.0099|11.4981|-2.0391|2
ABE|OH|1161|13.0401|1.9108|0.0121|11.4981|1.542|3
ABE|OO|314|30.7649|22.4463|0.0382|11.4981|19.2668|4
ABI|MQ|1748|7.3598|4.4697|0.0069|7.3598|0.0|1
ABQ|DL|1542|1.7564|-5.5903|0.0071|9.1833|-7.4269|1
ABQ|OO|3973|2.1253|-2.0223|0.0038|9.1833|-7.058|2
ABQ|MQ|907|5.2841|3.2584|0.0066|9.1833|-3.8992|3
ABQ|UA|1821|5.4911|-0.3161|0.0104|9.1833|-3.6922|4
ABQ|AS|423|8.4024|4.5263|0.0095|9.1833|-0.7809|5
ABQ|NK|524|9.1158|5.2722|0.0115|9.1833|-0.0675|6
ABQ|WN|11574|10.5008|4.3802|0.0044|9.1833|1.3175|7
ABQ|AA|2980|17.5968|14.7579|0.0148|9.1833|8.4135|8
ABQ|B6|255|48.761|45.108|0.0196|9.1833|39.5777|9
ABR|OO|728|19.295|10.7188|0.0082|19.295|0.0|1
ABY|9E|38|9.5263|4.3684|0.0|17.2682|-7.7419|1
ABY|OO|726|17.6773|16.5641|0.0096|17.2682|0.4091|2
ACK|B6|1005|12.9815|8.4607|0.0378|14.122|-1.1405|1
ACK|YX|610|15.0246|15.2562|0.0705|14.122|0.9026|2
ACK|MQ|22|21.8182|22.6818|0.0|14.122|7.6962|3
ACK|OO|27|30.5385|18.0385|0.037|14.122|16.4165|4
ACT|OO|743|14.26|14.1926|0.0215|15.5762|-1.3162|1
ACT|MQ|337|18.4758|18.0061|0.0208|15.5762|2.8996|2
ACV|OO|1730|18.98|17.1406|0.0156|18.98|0.0|1
ACY|NK|3050|8.8898|1.7606|0.018|8.8898|0.0|1
ADK|AS|104|-6.0625|-6.8333|0.0769|-6.0625|0.0|1
ADQ|AS|815|2.6805|1.3659|0.0209|2.6805|0.0|1
AEX|9E|872|14.6782|9.7625|0.0092|16.9397|-2.2615|1
AEX|OO|1049|18.1109|13.6397|0.02|16.9397|1.1712|2
AEX|MQ|33|39.6667|39.1212|0.0|16.9397|22.727|3
AGS|MQ|192|8.1444|0.4|0.026|16.7977|-8.6533|1
AGS|YX|31|9.9355|-0.7333|0.0|16.7977|-6.8622|2
AGS|9E|1574|12.6078|7.1349|0.0102|16.7977|-4.1899|3
AGS|DL|168|17.8452|12.7381|0.0|16.7977|1.0475|4
AGS|OH|1556|18.9253|17.4252|0.0186|16.7977|2.1276|5
AGS|OO|428|27.3412|20.7882|0.007|16.7977|10.5435|6
AGS|AA|23|36.4783|34.3478|0.0|16.7977|19.6806|7
AKN|AS|178|-6.4326|-3.2655|0.0056|-6.4326|0.0|1
ALB|MQ|186|2.7688|0.9516|0.0|12.7303|-9.9615|1
ALB|YX|332|3.2385|-2.1938|0.0151|12.7303|-9.4918|2
ALB|9E|1087|4.7428|-4.3889|0.0175|12.7303|-7.9875|3
