origin|carrier|num_flights|avg_dep_delay|avg_arr_delay|cancel_rate|avg_dep_airport|dep_diff|rank
ABE|G4|2764|7.809|0.1072|0.017|11.025|-3.216|1
ABE|9E|1544|9.5105|0.7464|0.0091|11.025|-1.5145|2
ABE|OH|1752|12.2602|1.2636|0.0108|11.025|1.2352|3
ABE|OO|473|30.5317|22.2097|0.0338|11.025|19.5067|4
ABI|MQ|2618|8.1488|5.403|0.0069|8.1488|0.0|1
ABQ|OO|5974|1.9111|-2.2974|0.0037|9.1456|-7.2345|1
ABQ|DL|2309|2.2469|-5.0896|0.0074|9.1456|-6.8987|2
ABQ|MQ|1390|5.5112|3.6984|0.005|9.1456|-3.6344|3
ABQ|UA|2701|5.5805|-0.2756|0.0096|9.1456|-3.5651|4
ABQ|AS|646|7.5305|4.2814|0.0139|9.1456|-1.6151|5
