origin|month|delay_band|num_flights|avg_dep|avg_arr|top_cause_1|top_cause_2|top_cause_3
ABE|1|high|46|238.11|229.41|weather|late_aircraft|carrier
ABE|1|low|413|-5.94|-14.48|weather|late_aircraft|carrier
ABE|1|medium|48|30.75|29.23|weather|late_aircraft|carrier
ABE|2|high|21|221.71|211.95|weather|carrier|late_aircraft
ABE|2|low|442|-6.75|-19.6|weather|carrier|late_aircraft
ABE|2|medium|36|29.19|12.86|weather|carrier|late_aircraft
ABE|3|high|38|180.5|170.45|carrier|late_aircraft|nas
ABE|3|low|526|-6.26|-18.36|carrier|late_aircraft|nas
ABE|3|medium|39|30.05|18.0|carrier|late_aircraft|nas
ABE|4|high|40|258.88|249.7|carrier|late_aircraft|weather
ABE|4|low|472|-6.31|-17.11|carrier|late_aircraft|weather
ABE|4|medium|41|32.17|26.85|carrier|late_aircraft|weather
ABE|5|high|57|188.74|185.71|late_aircraft|weather|nas
ABE|5|low|493|-6.52|-12.11|late_aircraft|weather|nas
ABE|5|medium|38|31.08|32.95|late_aircraft|weather|nas
ABE|6|high|52|190.31|188.45|carrier|late_aircraft|nas
ABE|6|low|506|-6.76|-16.43|carrier|late_aircraft|nas
ABE|6|medium|61|27.59|14.47|carrier|late_aircraft|nas
ABE|7|high|53|129.83|129.21|late_aircraft|weather|carrier
ABE|7|low|418|-6.75|-10.43|late_aircraft|weather|carrier
ABE|7|medium|56|32.54|26.8|late_aircraft|weather|carrier
ABE|8|high|40|150.33|145.65|carrier|late_aircraft|weather
ABE|8|low|444|-6.74|-14.09|carrier|late_aircraft|weather
ABE|8|medium|66|30.97|26.42|carrier|late_aircraft|weather
ABE|9|high|20|174.95|170.75|weather|late_aircraft|carrier
ABE|9|low|430|-6.93|-15.86|weather|late_aircraft|carrier
ABE|9|medium|39|37.08|32.84|weather|late_aircraft|carrier
ABE|10|high|25|201.04|193.4|late_aircraft|carrier|weather
ABE|10|low|472|-5.83|-17.89|late_aircraft|carrier|weather
ABE|10|medium|41|25.88|11.29|late_aircraft|carrier|weather
ABE|11|high|24|185.79|172.13|nas|carrier|late_aircraft
ABE|11|low|416|-6.1|-16.09|nas|carrier|late_aircraft
ABE|11|medium|34|30.68|19.62|nas|carrier|late_aircraft
ABE|12|high|49|189.0|183.39|weather|late_aircraft|carrier
ABE|12|low|397|-4.91|-13.24|weather|late_aircraft|carrier
ABE|12|medium|44|32.36|25.6|weather|late_aircraft|carrier
ABI|1|high|21|116.1|122.65|late_aircraft|weather|nas
ABI|1|low|183|-6.62|-3.78|late_aircraft|weather|nas
ABI|1|medium|17|40.71|37.12|late_aircraft|weather|nas
ABI|2|high|1|99.0|88.0|weather|carrier|late_aircraft
ABI|2|low|200|-6.52|-6.35|weather|carrier|late_aircraft
ABI|2|medium|12|31.25|32.25|weather|carrier|late_aircraft
ABI|3|high|16|132.44|133.5|carrier|weather|late_aircraft
ABI|3|low|180|-4.26|-6.54|carrier|weather|late_aircraft
ABI|3|medium|23|27.65|29.78|carrier|weather|late_aircraft
ABI|4|high|17|142.82|142.12|weather|late_aircraft|nas
ABI|4|low|169|-3.72|-9.43|weather|late_aircraft|nas
ABI|4|medium|24|30.79|29.0|weather|late_aircraft|nas
ABI|5|high|35|197.34|201.94|late_aircraft|carrier|weather
ABI|5|low|128|-3.16|-7.59|late_aircraft|carrier|weather
ABI|5|medium|46|26.67|24.57|late_aircraft|carrier|weather
ABI|6|high|17|113.82|105.53|late_aircraft|carrier|weather
ABI|6|low|178|-4.3|-10.37|late_aircraft|carrier|weather
ABI|6|medium|27|30.11|28.59|late_aircraft|carrier|weather
ABI|7|high|14|141.64|138.29|carrier|late_aircraft|nas
ABI|7|low|176|-4.38|-8.96|carrier|late_aircraft|nas
ABI|7|medium|31|31.19|30.61|carrier|late_aircraft|nas
ABI|8|high|3|85.67|84.0|late_aircraft|nas|carrier
