origin|carrier|num_flights|avg_dep_delay|avg_arr_delay|cancel_rate|avg_dep_airport|dep_diff|rank
ABE|G4|2764|7.809|0.1072|0.017|11.025|-3.216|1
ABE|9E|1544|9.5105|0.7464|0.0091|11.025|-1.5145|2
ABE|OH|1752|12.2602|1.2636|0.0108|11.025|1.2352|3
ABE|OO|473|30.5317|22.2097|0.0338|11.025|19.5067|4
ABI|MQ|2618|8.1488|5.403|0.0069|8.1488|0.0|1
ABQ|OO|5974|1.9111|-2.2974|0.0037|9.1456|-7.2345|1
ABQ|DL|2309|2.2469|-5.0896|0.0074|9.1456|-6.8987|2
ABQ|MQ|1390|5.5112|3.6984|0.005|9.1456|-3.6344|3
ABQ|UA|2701|5.5805|-0.2756|0.0096|9.1456|-3.5651|4
ABQ|AS|646|7.5305|4.2814|0.0139|9.1456|-1.6151|5
ABQ|WN|17418|10.4396|4.3512|0.0045|9.1456|1.294|6
ABQ|NK|782|11.0918|7.4567|0.0115|9.1456|1.9462|7
ABQ|AA|4452|17.2411|14.175|0.0148|9.1456|8.0955|8
ABQ|B6|372|50.4022|47.0222|0.0296|9.1456|41.2566|9
ABR|OO|1049|21.9866|13.0096|0.0076|21.9866|0.0|1
ABY|9E|52|8.5385|3.9423|0.0|15.0744|-6.5359|1
ABY|OO|1099|15.3859|14.5239|0.0073|15.0744|0.3115|2
ACK|B6|1484|13.573|9.4088|0.0384|14.4311|-0.8581|1
ACK|YX|910|14.9017|15.7592|0.0769|14.4311|0.4706|2
ACK|MQ|31|17.2258|18.129|0.0|14.4311|2.7947|3
ACK|OO|48|30.7391|20.1522|0.0417|14.4311|16.308|4
ACT|OO|1122|14.3592|14.4333|0.025|15.5412|-1.182|1
ACT|MQ|481|18.2866|17.62|0.0208|15.5412|2.7454|2
ACV|OO|2635|18.9244|16.8258|0.0159|18.9244|0.0|1
ACY|NK|4586|8.5261|1.2675|0.0177|8.5261|0.0|1
ADK|AS|149|-6.6963|-8.7556|0.094|-6.6963|0.0|1
ADQ|AS|1271|2.0675|0.7331|0.0212|2.0675|0.0|1
AEX|9E|1295|13.5187|8.2761|0.0085|17.8445|-4.3258|1
AEX|OO|1565|20.6021|15.922|0.0236|17.8445|2.7576|2
AEX|MQ|50|44.66|42.8|0.0|17.8445|26.8155|3
AGS|YX|52|6.4808|-3.88|0.0|16.3178|-9.837|1
AGS|MQ|312|9.8882|1.6267|0.0256|16.3178|-6.4296|2
AGS|9E|2433|13.0282|7.5205|0.0095|16.3178|-3.2896|3
AGS|DL|247|15.6842|10.0972|0.0|16.3178|-0.6336|4
AGS|OH|2320|18.1908|16.4895|0.0172|16.3178|1.873|5
AGS|OO|652|24.696|18.213|0.0061|16.3178|8.3782|6
AGS|AA|31|43.7742|42.2258|0.0|16.3178|27.4564|7
AKN|AS|271|-7.476|-3.537|0.0037|-7.476|0.0|1
ALB|MQ|287|3.0209|1.2962|0.0|12.705|-9.6841|1
ALB|9E|1624|3.7826|-5.0201|0.0179|12.705|-8.9224|2
ALB|YX|501|4.313|-1.3272|0.018|12.705|-8.392|3
ALB|UA|1117|6.2064|2.3191|0.0152|12.705|-6.4986|4
ALB|OO|1250|9.77|4.7185|0.0016|12.705|-2.935|5
